flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,terminal,aircraft_type,scheduled_time,scheduled_min,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi,actual_time
2024-07-16,F0001,B6,2202,N955JB,ARR,FLL,JFK,T5,narrow,00:13,13,114.0,8.0,106.0,101.0,1069.0,
2024-07-16,F0002,F9,3548,N395FR,ARR,SJU,JFK,T4,narrow,00:15,15,47.0,19.0,28.0,32.0,1598.0,
2024-07-16,F0003,DL,1387,N324NB,ARR,MSY,JFK,T4,narrow,00:22,22,12.0,18.0,1434.0,-10.0,1182.0,
2024-07-16,F0004,AA,2973,N932NN,ARR,MIA,JFK,T8,narrow,00:33,33,52.0,23.0,29.0,19.0,1089.0,
2024-07-16,F0005,DL,446,N533DT,ARR,SEA,JFK,T4,narrow,00:35,35,54.0,29.0,25.0,19.0,2422.0,
2024-07-16,F0006,DL,972,N171DN,ARR,LAX,JFK,T4,narrow,00:40,40,38.0,15.0,23.0,-2.0,2475.0,
2024-07-16,F0007,DL,680,N717TW,ARR,SFO,JFK,T4,narrow,00:47,47,47.0,15.0,32.0,0.0,2586.0,
2024-07-16,F0008,B6,524,N982JB,ARR,LAX,JFK,T5,narrow,00:48,48,28.0,16.0,12.0,-20.0,2475.0,
2024-07-16,F0009,B6,738,N796JB,ARR,BQN,JFK,T5,narrow,01:42,102,110.0,6.0,104.0,8.0,1576.0,
2024-07-16,F0010,B6,1004,N949JT,ARR,SJU,JFK,T5,narrow,01:56,116,90.0,9.0,81.0,-26.0,1598.0,
2024-07-16,F0011,B6,1114,N980JT,ARR,LAX,JFK,T5,narrow,05:01,301,269.0,10.0,259.0,-32.0,2475.0,
2024-07-16,F0012,B6,1603,N949JT,DEP,JFK,SJU,T5,narrow,05:01,301,300.0,21.0,321.0,-1.0,1598.0,05:00
2024-07-16,F0013,B6,1190,N2105J,ARR,SAN,JFK,T5,narrow,05:04,304,326.0,14.0,312.0,22.0,2446.0,
2024-07-16,F0014,B6,2416,N945JT,ARR,SFO,JFK,T5,narrow,05:04,304,305.0,7.0,298.0,1.0,2586.0,
2024-07-16,F0015,B6,2348,N967JT,ARR,LAS,JFK,T5,narrow,05:04,304,279.0,10.0,269.0,-25.0,2248.0,
2024-07-16,F0016,B6,123,N969JT,DEP,JFK,LAX,T5,narrow,05:20,320,315.0,11.0,326.0,-5.0,2475.0,05:15
2024-07-16,F0017,DL,564,N722TW,ARR,SFO,JFK,T4,narrow,05:28,328,292.0,8.0,284.0,-36.0,2586.0,
2024-07-16,F0018,B6,358,N3062J,ARR,BUR,JFK,T5,narrow,05:29,329,360.0,10.0,350.0,31.0,2465.0,
2024-07-16,F0019,B6,372,N633JB,ARR,SLC,JFK,T5,narrow,05:37,337,348.0,8.0,340.0,11.0,1990.0,
2024-07-16,F0020,B6,98,N637JB,ARR,DEN,JFK,T5,narrow,05:45,345,441.0,11.0,430.0,96.0,1626.0,
2024-07-16,F0021,B6,601,N603JB,DEP,JFK,FLL,T5,narrow,05:45,345,344.0,28.0,372.0,-1.0,1069.0,05:44
2024-07-16,F0022,DL,438,N387DN,ARR,DEN,JFK,T4,narrow,05:53,353,378.0,6.0,372.0,25.0,1626.0,
2024-07-16,F0023,AA,1032,N336SR,DEP,JFK,MIA,T8,narrow,05:55,355,353.0,23.0,376.0,-2.0,1089.0,05:53
2024-07-16,F0024,F9,3547,N395FR,DEP,JFK,SJU,T4,narrow,05:59,359,355.0,24.0,379.0,-4.0,1598.0,05:55
2024-07-16,F0025,B6,66,N3077J,ARR,ABQ,JFK,T5,narrow,05:59,359,468.0,8.0,460.0,109.0,1826.0,
2024-07-16,F0026,DL,701,N702TW,DEP,JFK,LAX,T4,narrow,06:00,360,352.0,19.0,371.0,-8.0,2475.0,05:52
2024-07-16,F0027,B6,953,N3189J,DEP,JFK,PBI,T5,narrow,06:00,360,357.0,47.0,404.0,-3.0,1028.0,05:57
2024-07-16,F0028,AS,22,N533AS,ARR,SEA,JFK,T7,narrow,06:00,360,344.0,8.0,336.0,-16.0,2422.0,
2024-07-16,F0029,B6,281,N599JB,DEP,JFK,IAH,T5,narrow,06:00,360,357.0,26.0,383.0,-3.0,1417.0,05:57
2024-07-16,F0030,DL,2286,N321NB,DEP,JFK,ATL,T4,narrow,06:00,360,359.0,31.0,390.0,-1.0,760.0,05:59
2024-07-16,F0031,AA,1,N105NN,DEP,JFK,LAX,T8,narrow,06:00,360,352.0,22.0,374.0,-8.0,2475.0,05:52
2024-07-16,F0032,AA,892,N941NN,DEP,JFK,CLT,T8,narrow,06:00,360,355.0,15.0,370.0,-5.0,541.0,05:55
2024-07-16,F0033,B6,1073,N3162J,DEP,JFK,BNA,T5,narrow,06:00,360,356.0,21.0,377.0,-4.0,765.0,05:56
2024-07-16,F0034,YX,5765,N215JQ,DEP,JFK,BOS,T8,narrow,06:01,361,356.0,19.0,375.0,-5.0,187.0,05:56
2024-07-16,F0035,B6,519,N3156J,DEP,JFK,ATL,T5,narrow,06:03,363,363.0,19.0,382.0,0.0,760.0,06:03
2024-07-16,F0036,AA,10,N116AN,ARR,LAX,JFK,T8,narrow,06:09,369,336.0,12.0,324.0,-33.0,2475.0,
2024-07-16,F0037,DL,892,N890DN,DEP,JFK,SLC,T4,narrow,06:15,375,370.0,25.0,395.0,-5.0,1990.0,06:10
2024-07-16,F0038,DL,524,N530DE,ARR,LAS,JFK,T4,narrow,06:25,385,349.0,6.0,343.0,-36.0,2248.0,
2024-07-16,F0039,DL,705,N502DX,ARR,SLC,JFK,T4,narrow,06:29,389,359.0,5.0,354.0,-30.0,1990.0,
2024-07-16,F0040,YX,5603,N223JQ,ARR,PWM,JFK,T8,narrow,06:29,389,374.0,8.0,366.0,-15.0,273.0,
2024-07-16,F0041,DL,845,N520DE,ARR,SAN,JFK,T4,narrow,06:29,389,400.0,8.0,392.0,11.0,2446.0,
2024-07-16,F0042,B6,917,N3077J,ARR,BOS,JFK,T5,narrow,06:30,390,372.0,10.0,362.0,-18.0,187.0,
2024-07-16,F0043,B6,2285,N3123J,DEP,JFK,RDU,T5,narrow,06:30,390,418.0,22.0,440.0,28.0,427.0,06:58
2024-07-16,F0044,AA,76,N113AN,DEP,JFK,SFO,T8,narrow,06:30,390,386.0,25.0,411.0,-4.0,2586.0,06:26
2024-07-16,F0045,AA,1280,N306SW,ARR,PHX,JFK,T8,narrow,06:30,390,365.0,8.0,357.0,-25.0,2153.0,
2024-07-16,F0046,B6,2293,N954JB,DEP,JFK,MIA,T5,narrow,06:30,390,384.0,13.0,397.0,-6.0,1089.0,06:24
2024-07-16,F0047,B6,1529,N809JB,DEP,JFK,RSW,T5,narrow,06:30,390,390.0,11.0,401.0,0.0,1074.0,06:30
2024-07-16,F0048,B6,136,N3139J,ARR,PHX,JFK,T5,narrow,06:30,390,539.0,11.0,528.0,149.0,2153.0,
2024-07-16,F0049,B6,2725,N547JB,DEP,JFK,TPA,T5,narrow,06:30,390,395.0,18.0,413.0,5.0,1005.0,06:35
2024-07-16,F0050,9E,5176,N336PQ,ARR,BTV,JFK,T4,narrow,06:39,399,377.0,7.0,370.0,-22.0,266.0,
2024-07-16,F0051,DL,960,N198DN,ARR,LAX,JFK,T4,narrow,06:40,400,382.0,5.0,377.0,-18.0,2475.0,
2024-07-16,F0052,AA,1487,N323SG,DEP,JFK,PHX,T8,narrow,06:50,410,407.0,24.0,431.0,-3.0,2153.0,06:47
2024-07-16,F0053,DL,2390,N115DU,DEP,JFK,MSP,T4,narrow,06:55,415,411.0,25.0,436.0,-4.0,1029.0,06:51
2024-07-16,F0054,B6,189,N981JT,DEP,JFK,SAN,T5,narrow,06:55,415,408.0,16.0,424.0,-7.0,2446.0,06:48
2024-07-16,F0055,B6,163,N3112J,DEP,JFK,SRQ,T5,narrow,06:59,419,413.0,14.0,427.0,-6.0,1041.0,06:53
2024-07-16,F0056,AA,276,N109NN,ARR,SFO,JFK,T8,narrow,06:59,419,379.0,12.0,367.0,-40.0,2586.0,
2024-07-16,F0057,AA,2131,N961AN,DEP,JFK,MIA,T8,narrow,06:59,419,415.0,13.0,428.0,-4.0,1089.0,06:55
2024-07-16,F0058,9E,5265,N195PQ,ARR,ITH,JFK,T4,narrow,07:00,420,414.0,7.0,407.0,-6.0,189.0,
2024-07-16,F0059,9E,5318,N934XJ,ARR,ROC,JFK,T4,narrow,07:00,420,409.0,7.0,402.0,-11.0,264.0,
2024-07-16,F0060,DL,1230,N391DA,DEP,JFK,AUS,T4,narrow,07:00,420,414.0,15.0,429.0,-6.0,1521.0,06:54
2024-07-16,F0061,DL,1528,N885DN,DEP,JFK,MIA,T4,narrow,07:00,420,416.0,34.0,450.0,-4.0,1089.0,06:56
2024-07-16,F0062,DL,742,N172DN,DEP,JFK,LAX,T4,narrow,07:00,420,412.0,26.0,438.0,-8.0,2475.0,06:52
2024-07-16,F0063,DL,699,N504DZ,DEP,JFK,SEA,T4,narrow,07:00,420,416.0,26.0,442.0,-4.0,2422.0,06:56
2024-07-16,F0064,9E,5363,N928XJ,ARR,SYR,JFK,T4,narrow,07:00,420,435.0,9.0,426.0,15.0,209.0,
2024-07-16,F0065,DL,668,N704X,DEP,JFK,SFO,T4,narrow,07:00,420,419.0,30.0,449.0,-1.0,2586.0,06:59
2024-07-16,F0066,YX,5810,N810MD,ARR,BUF,JFK,T8,narrow,07:00,420,416.0,7.0,409.0,-4.0,301.0,
2024-07-16,F0067,AA,2966,N9029F,DEP,JFK,STT,T8,narrow,07:00,420,498.0,21.0,519.0,78.0,1623.0,08:18
2024-07-16,F0068,AS,33,N457AS,DEP,JFK,SFO,T7,narrow,07:00,420,416.0,30.0,446.0,-4.0,2586.0,06:56
2024-07-16,F0069,DL,2042,N818DA,DEP,JFK,TPA,T4,narrow,07:00,420,416.0,28.0,444.0,-4.0,1005.0,06:56
2024-07-16,F0070,B6,201,N3145J,ARR,BUF,JFK,T5,narrow,07:00,420,388.0,6.0,382.0,-32.0,301.0,
2024-07-16,F0071,AS,607,N804AK,ARR,ANC,JFK,T7,narrow,07:05,425,419.0,8.0,411.0,-6.0,3386.0,
2024-07-16,F0072,DL,2049,N370DN,DEP,JFK,MCO,T4,narrow,07:05,425,424.0,23.0,447.0,-1.0,944.0,07:04
2024-07-16,F0073,DL,2320,N3743H,DEP,JFK,RSW,T4,narrow,07:05,425,424.0,27.0,451.0,-1.0,1074.0,07:04
2024-07-16,F0074,AS,36,N706AL,ARR,SAN,JFK,T7,narrow,07:06,426,395.0,8.0,387.0,-31.0,2446.0,
2024-07-16,F0075,B6,1285,N3142J,ARR,ROC,JFK,T5,narrow,07:08,428,437.0,6.0,431.0,9.0,264.0,
2024-07-16,F0076,AA,33,N110AN,DEP,JFK,LAX,T8,narrow,07:10,430,419.0,22.0,441.0,-11.0,2475.0,06:59
2024-07-16,F0077,B6,677,N3077J,DEP,JFK,JAX,T5,narrow,07:15,435,439.0,22.0,461.0,4.0,828.0,07:19
2024-07-16,F0078,YX,4805,N130HQ,ARR,RDU,JFK,T8,narrow,07:20,440,428.0,18.0,410.0,-12.0,427.0,
2024-07-16,F0079,9E,5425,N133EV,ARR,BWI,JFK,T4,narrow,07:23,443,428.0,8.0,420.0,-15.0,184.0,
2024-07-16,F0080,DL,2611,N143DU,ARR,BOS,JFK,T4,narrow,07:25,445,435.0,11.0,424.0,-10.0,187.0,
2024-07-16,F0081,DL,1132,N508DA,ARR,PDX,JFK,T4,narrow,07:25,445,427.0,9.0,418.0,-18.0,2454.0,
2024-07-16,F0082,HA,50,N360HA,ARR,HNL,JFK,T5,narrow,07:25,445,469.0,22.0,447.0,24.0,4983.0,
2024-07-16,F0083,9E,5356,N909XJ,ARR,ORF,JFK,T4,narrow,07:25,445,440.0,8.0,432.0,-5.0,290.0,
2024-07-16,F0084,YX,5660,N246JQ,ARR,DCA,JFK,T8,narrow,07:25,445,450.0,12.0,438.0,5.0,213.0,
2024-07-16,F0085,DL,452,N513DA,ARR,SEA,JFK,T4,narrow,07:25,445,438.0,4.0,434.0,-7.0,2422.0,
2024-07-16,F0086,YX,4360,N417YX,ARR,ORF,JFK,T8,narrow,07:28,448,440.0,13.0,427.0,-8.0,290.0,
2024-07-16,F0087,DL,795,N509DT,DEP,JFK,LAS,T4,narrow,07:30,450,447.0,24.0,471.0,-3.0,2248.0,07:27
2024-07-16,F0088,AS,31,N585AS,DEP,JFK,SEA,T7,narrow,07:30,450,442.0,20.0,462.0,-8.0,2422.0,07:22
