flight_date,flight_id,airline,flight_number,tail_number,operation,origin,destination,terminal,aircraft_type,scheduled_time,scheduled_min,actual_time,actual_min,actual_taxi_min,wheels_time_min,delay_min,distance_mi
2024-08-16,F0001,B6,2202,N834JB,ARR,FLL,JFK,T5,narrow,00:16,16,,35,20.0,15,19.0,1069.0
2024-08-16,F0002,DL,1387,N339NB,ARR,MSY,JFK,T4,narrow,00:22,22,,1421,6.0,1415,-41.0,1182.0
2024-08-16,F0003,AA,2973,N934NN,ARR,MIA,JFK,T8,narrow,00:29,29,,16,9.0,7,-13.0,1089.0
2024-08-16,F0004,DL,446,N502DX,ARR,SEA,JFK,T4,narrow,00:35,35,,10,13.0,1437,-25.0,2422.0
2024-08-16,F0005,DL,972,N174DN,ARR,LAX,JFK,T4,narrow,00:40,40,,1440,7.0,1433,-40.0,2475.0
2024-08-16,F0006,F9,3548,N646FR,ARR,SJU,JFK,T4,narrow,00:42,42,,79,15.0,64,37.0,1598.0
2024-08-16,F0007,B6,524,N923JB,ARR,LAX,JFK,T5,narrow,00:47,47,,14,11.0,3,-33.0,2475.0
2024-08-16,F0008,DL,680,N711ZX,ARR,SFO,JFK,T4,narrow,00:47,47,,10,8.0,2,-37.0,2586.0
2024-08-16,F0009,B6,738,N618JB,ARR,BQN,JFK,T5,narrow,01:42,102,,88,8.0,80,-14.0,1576.0
2024-08-16,F0010,B6,1004,N955JB,ARR,SJU,JFK,T5,narrow,01:56,116,,257,14.0,243,141.0,1598.0
2024-08-16,F0011,B6,2348,N991JT,ARR,LAS,JFK,T5,narrow,05:00,300,,283,12.0,271,-17.0,2248.0
2024-08-16,F0012,B6,1603,N970JB,DEP,JFK,SJU,T5,narrow,05:01,301,04:55,295,16.0,311,-6.0,1598.0
2024-08-16,F0013,B6,2416,N2105J,ARR,SFO,JFK,T5,narrow,05:03,303,,285,8.0,277,-18.0,2586.0
2024-08-16,F0014,B6,1190,N937JB,ARR,SAN,JFK,T5,narrow,05:04,304,,328,12.0,316,24.0,2446.0
2024-08-16,F0015,B6,123,N983JT,DEP,JFK,LAX,T5,narrow,05:20,320,05:17,317,16.0,333,-3.0,2475.0
2024-08-16,F0016,DL,564,N712TW,ARR,SFO,JFK,T4,narrow,05:28,328,,305,7.0,298,-23.0,2586.0
2024-08-16,F0017,B6,358,N3112J,ARR,BUR,JFK,T5,narrow,05:29,329,,388,9.0,379,59.0,2465.0
2024-08-16,F0018,F9,3238,N633FR,ARR,LAS,JFK,T4,narrow,05:34,334,,307,12.0,295,-27.0,2248.0
2024-08-16,F0019,B6,372,N709JB,ARR,SLC,JFK,T5,narrow,05:39,339,,350,8.0,342,11.0,1990.0
2024-08-16,F0020,B6,1114,N977JE,ARR,LAX,JFK,T5,narrow,05:40,340,,382,14.0,368,42.0,2475.0
2024-08-16,F0021,B6,98,N746JB,ARR,DEN,JFK,T5,narrow,05:43,343,,332,10.0,322,-11.0,1626.0
2024-08-16,F0022,B6,66,N3062J,ARR,ABQ,JFK,T5,narrow,05:57,357,,342,8.0,334,-15.0,1826.0
2024-08-16,F0023,B6,601,N2086J,DEP,JFK,FLL,T5,narrow,05:59,359,05:56,356,20.0,376,-3.0,1069.0
2024-08-16,F0024,AA,892,N964AN,DEP,JFK,CLT,T8,narrow,05:59,359,05:55,355,14.0,369,-4.0,541.0
2024-08-16,F0025,AA,1032,N320TF,DEP,JFK,MIA,T8,narrow,05:59,359,05:59,359,18.0,377,0.0,1089.0
2024-08-16,F0026,B6,281,N587JB,DEP,JFK,IAH,T5,narrow,06:00,360,05:58,358,16.0,374,-2.0,1417.0
2024-08-16,F0027,B6,953,N2084J,DEP,JFK,PBI,T5,narrow,06:00,360,05:58,358,13.0,371,-2.0,1028.0
2024-08-16,F0028,DL,701,N709TW,DEP,JFK,LAX,T4,narrow,06:00,360,06:04,364,20.0,384,4.0,2475.0
2024-08-16,F0029,AS,22,N586AS,ARR,SEA,JFK,T7,narrow,06:00,360,,353,10.0,343,-7.0,2422.0
2024-08-16,F0030,F9,3547,N616FR,DEP,JFK,SJU,T4,narrow,06:00,360,06:56,416,33.0,449,56.0,1598.0
2024-08-16,F0031,DL,2286,N722TW,DEP,JFK,ATL,T4,narrow,06:00,360,05:56,356,24.0,380,-4.0,760.0
2024-08-16,F0032,AA,1,N105NN,DEP,JFK,LAX,T8,narrow,06:00,360,05:53,353,15.0,368,-7.0,2475.0
2024-08-16,F0033,B6,1073,N3132J,DEP,JFK,BNA,T5,narrow,06:00,360,05:52,352,11.0,363,-8.0,765.0
2024-08-16,F0034,YX,5765,N218JQ,DEP,JFK,BOS,T8,narrow,06:01,361,05:57,357,27.0,384,-4.0,187.0
2024-08-16,F0035,B6,519,N3152J,DEP,JFK,ATL,T5,narrow,06:01,361,05:55,355,25.0,380,-6.0,760.0
2024-08-16,F0036,AA,1280,N335RT,ARR,PHX,JFK,T8,narrow,06:14,374,,345,9.0,336,-29.0,2153.0
2024-08-16,F0037,DL,892,N806DN,DEP,JFK,SLC,T4,narrow,06:15,375,06:13,373,18.0,391,-2.0,1990.0
2024-08-16,F0038,DL,524,N544DN,ARR,LAS,JFK,T4,narrow,06:25,385,,363,5.0,358,-22.0,2248.0
